Ticker,Year_Int,Year,Installed_Capacity_MW,License_Issue_Year,License_Term_Years,PPA_Tariff_Wet,PPA_Tariff_Dry,PLF
AKJCL,2022,2022/23,7.0,2066.0,35.0,4.8,8.4,0.5224432322243966
AKJCL,2023,2023/24,7.0,2066.0,35.0,4.8,8.4,0.473393047401609
AKJCL,2024,2024/25,7.0,2066.0,35.0,4.8,8.4,0.4612407425527288
SPDL,2016,2016/17,10.0,2066.0,35.0,4.8,8.4,0.4048120072298325
SPDL,2017,2017/18,10.0,2066.0,35.0,4.8,8.4,0.384831178652968
SPDL,2018,2018/19,10.0,2066.0,35.0,4.8,8.4,0.3652619235159817
SPDL,2019,2019/20,10.0,2066.0,35.0,4.8,8.4,0.4494481354642313
SPDL,2020,2020/21,10.0,2066.0,35.0,4.8,8.4,0.3835142964231355
SPDL,2021,2021/22,10.0,2066.0,35.0,4.8,8.4,0.3929477617960426
SPDL,2022,2022/23,10.0,2066.0,35.0,4.8,8.4,0.3782075464231354
SPDL,2023,2023/24,10.0,2066.0,35.0,4.8,8.4,0.3027567598934551
SPDL,2024,2024/25,10.0,2066.0,35.0,4.8,8.4,0.3609945985540335
CHL,2016,2016/17,2.0,2070.0,35.0,4.8,8.4,0.4578501127283105
CHL,2017,2017/18,2.0,2070.0,35.0,4.8,8.4,0.505846516457382
CHL,2018,2018/19,2.0,2070.0,35.0,4.8,8.4,0.4893942802511415
CHL,2019,2019/20,2.0,2070.0,35.0,4.8,8.4,0.5464604353120244
CHL,2020,2020/21,2.0,2070.0,35.0,4.8,8.4,0.4573770495624048
CHL,2021,2021/22,2.0,2070.0,35.0,4.8,8.4,0.7448198753805175
CHL,2022,2022/23,2.0,2070.0,35.0,4.8,8.4,0.9442497720700151
CHL,2023,2023/24,2.0,2070.0,35.0,4.8,8.4,0.9493855308219178
CHL,2024,2024/25,2.0,2070.0,35.0,4.8,8.4,1.0
SPC,2020,2020/21,9.51,2075.0,36.0,4.8,8.4,1.0
SPC,2021,2021/22,9.51,2075.0,36.0,4.8,8.4,0.2331819045721318
SPC,2022,2022/23,9.51,2075.0,36.0,4.8,8.4,0.5109825454100226
SPC,2023,2023/24,9.51,2075.0,36.0,4.8,8.4,0.5037566780621856
SPC,2024,2024/25,9.51,2075.0,36.0,4.8,8.4,0.4518507295052712
GHL,2019,2019/20,5.0,2070.0,35.0,4.8,8.4,1.0
GHL,2020,2020/21,5.0,2070.0,35.0,4.8,8.4,0.2630308904109589
GHL,2021,2021/22,5.0,2070.0,35.0,4.8,8.4,0.3493928729071537
GHL,2022,2022/23,5.0,2070.0,35.0,4.8,8.4,0.3709216324200913
GHL,2023,2023/24,5.0,2070.0,35.0,4.8,8.4,0.3864092884322679
GHL,2024,2024/25,5.0,2070.0,35.0,4.8,8.4,0.471183207762557
SPL,2023,2023/24,,,,4.8,8.4,
SPL,2024,2024/25,,,,4.8,8.4,
CHCL,2011,2011/12,22.0,2054.0,50.0,4.8,8.4,0.7788835672651169
CHCL,2012,2012/13,22.0,2054.0,50.0,4.8,8.4,0.8376171881486094
CHCL,2013,2013/14,22.0,2054.0,50.0,4.8,8.4,0.8518437724851252
CHCL,2014,2014/15,22.0,2054.0,50.0,4.8,8.4,0.9046649327175867
CHCL,2015,2015/16,22.0,2054.0,50.0,4.8,8.4,1.0
CHCL,2016,2016/17,22.0,2054.0,50.0,4.8,8.4,1.0
CHCL,2017,2017/18,22.0,2054.0,50.0,4.8,8.4,0.9845309810433098
CHCL,2018,2018/19,22.0,2054.0,50.0,4.8,8.4,1.0
CHCL,2019,2019/20,22.0,2054.0,50.0,4.8,8.4,0.9865256209353812
CHCL,2020,2020/21,22.0,2054.0,50.0,4.8,8.4,0.9755538925211016
CHCL,2021,2021/22,22.0,2054.0,50.0,4.8,8.4,1.0
CHCL,2022,2022/23,22.0,2054.0,50.0,4.8,8.4,0.9760645132835202
CHCL,2023,2023/24,22.0,2054.0,50.0,4.8,8.4,0.9733006434205064
CHCL,2024,2024/25,22.0,2054.0,50.0,4.8,8.4,0.972896205202712
UHEWA,2023,2023/24,8.5,2072.0,35.0,4.8,8.4,0.1617924814217924
UHEWA,2024,2024/25,8.5,2072.0,35.0,4.8,8.4,0.5095861648312293
RHPL,2018,2018/19,111.0,2069.0,36.0,4.8,8.4,0.0
RHPL,2019,2019/20,111.0,2069.0,36.0,4.8,8.4,0.0
RHPL,2020,2020/21,111.0,2069.0,36.0,4.8,8.4,0.0
RHPL,2021,2021/22,111.0,2069.0,36.0,4.8,8.4,0.0
RHPL,2022,2022/23,111.0,2069.0,36.0,4.8,8.4,0.0
